wav,wsjtx_msgs,burst_idx,t_start_s,t_end_s,n_frames,valid_fraction,afc_applied,base_f0_hz,base_peak_mag,base_fwhm_hz,base_peak_to_noise,afc_peak_mag,gain_db
260511_110145.wav,N0AN N1KWF R+02,0,1.190,1.280,1,0.000,0,-203.13,135,11.00,1.46,135,+0.00
260511_110145.wav,N0AN N1KWF R+02,1,4.820,4.990,2,1.000,1,+103.65,275,7.00,1.86,249,-0.86
260511_110215.wav,N0AN N1KWF R+02|N0AN K3SWZ FN10,0,6.950,7.010,0,0.000,0,+nan,0,nan,nan,0,+nan
260511_110415.wav,N0AN N1KWF 73,0,0.960,1.090,1,0.000,0,+66.80,140,12.00,1.28,140,+0.00
260511_110415.wav,N0AN N1KWF 73,1,1.270,1.460,2,1.000,1,+102.59,315,7.00,1.85,328,+0.36
260511_110415.wav,N0AN N1KWF 73,2,1.570,1.720,2,1.000,1,+102.79,229,8.00,1.60,264,+1.24
260511_111030.wav,CQ N4JP FM14,0,11.740,11.910,2,1.000,1,+128.79,345,7.00,1.80,450,+2.31
260511_111230.wav,VA3TO N4JP R+06,0,11.340,11.460,1,0.000,0,+36.88,221,17.00,1.37,221,+0.00
260511_111330.wav,VA3TO N4JP R+06,0,4.120,4.210,1,0.000,0,+149.93,130,11.00,1.23,130,+0.00
260511_111400.wav,VA3TO N4JP R+06,0,1.010,1.140,1,0.000,0,+197.70,153,13.00,1.39,153,+0.00
260511_111430.wav,VA3TO N4JP R+06,0,11.120,11.190,0,0.000,0,+nan,0,nan,nan,0,+nan
260511_111500.wav,VA3TO N4JP R+06,0,4.290,4.420,1,0.000,0,+126.78,163,15.00,1.56,163,+0.00
260511_111530.wav,VA3TO N4JP R+06,0,3.320,3.430,1,1.000,1,+126.33,150,14.00,1.45,155,+0.26
260511_111530.wav,VA3TO N4JP R+06,1,3.550,3.630,1,1.000,1,+125.69,140,13.00,1.39,146,+0.31
260511_111530.wav,VA3TO N4JP R+06,2,4.220,4.280,0,0.000,0,+nan,0,nan,nan,0,+nan
260511_111530.wav,VA3TO N4JP R+06,3,4.380,4.500,1,1.000,1,+128.30,180,11.00,1.24,210,+1.33
260511_111530.wav,VA3TO N4JP R+06,4,4.550,4.680,1,1.000,1,+126.68,231,15.00,1.59,200,-1.26
260511_111530.wav,VA3TO N4JP R+06,5,4.970,5.090,1,1.000,1,+125.95,182,14.00,1.44,168,-0.68
260511_111530.wav,VA3TO N4JP R+06,6,5.680,5.770,1,1.000,1,+71.29,134,13.00,1.27,161,+1.55
260511_111530.wav,VA3TO N4JP R+06,7,6.320,6.380,0,0.000,0,+nan,0,nan,nan,0,+nan
260511_111530.wav,VA3TO N4JP R+06,8,7.310,7.380,0,0.000,0,+nan,0,nan,nan,0,+nan
260511_111530.wav,VA3TO N4JP R+06,9,8.000,8.050,0,0.000,0,+nan,0,nan,nan,0,+nan
260511_111530.wav,VA3TO N4JP R+06,10,9.940,10.020,1,0.000,0,+127.22,132,12.00,1.32,132,+0.00
260511_111530.wav,VA3TO N4JP R+06,11,10.600,10.670,0,0.000,0,+nan,0,nan,nan,0,+nan
260511_111530.wav,VA3TO N4JP R+06,12,10.950,11.030,1,0.000,0,+128.27,135,13.00,1.36,135,+0.00
260511_111530.wav,VA3TO N4JP R+06,13,11.790,11.890,1,1.000,1,+211.19,129,9.00,1.20,171,+2.45
260511_111530.wav,VA3TO N4JP R+06,14,12.410,12.490,1,0.000,0,+127.41,149,15.00,1.49,149,+0.00
260511_111530.wav,VA3TO N4JP R+06,15,12.880,12.980,1,1.000,1,+128.21,148,12.00,1.32,168,+1.10
260511_111530.wav,VA3TO N4JP R+06,16,13.070,13.150,1,1.000,1,+126.88,157,14.00,1.50,155,-0.13
260511_111530.wav,VA3TO N4JP R+06,17,13.220,14.250,14,1.000,1,+129.01,3083,2.00,18.83,2852,-0.68
260511_111530.wav,VA3TO N4JP R+06,18,14.450,14.910,6,1.000,1,+128.82,933,4.00,8.13,1022,+0.79
260511_111600.wav,VA3TO N4JP R+06,0,2.900,2.960,0,0.000,0,+nan,0,nan,nan,0,+nan
260511_111600.wav,VA3TO N4JP R+06,1,4.390,4.480,1,0.000,0,+128.55,165,14.00,1.47,165,+0.00
260511_111600.wav,VA3TO N4JP R+06,2,5.380,5.500,1,1.000,1,+126.32,183,14.00,1.45,169,-0.69
260511_111600.wav,VA3TO N4JP R+06,3,5.570,5.690,1,0.000,0,+127.72,194,9.00,1.42,194,+0.00
260511_111600.wav,VA3TO N4JP R+06,4,5.760,5.850,1,0.000,0,+128.72,158,13.00,1.41,158,+0.00
260511_111600.wav,VA3TO N4JP R+06,5,6.000,6.070,0,0.000,0,+nan,0,nan,nan,0,+nan
260511_111600.wav,VA3TO N4JP R+06,6,7.400,7.500,1,1.000,1,+128.16,161,14.00,1.51,160,-0.03
260511_111600.wav,VA3TO N4JP R+06,7,7.630,7.680,0,0.000,0,+nan,0,nan,nan,0,+nan
260511_111600.wav,VA3TO N4JP R+06,8,7.690,7.860,2,1.000,1,+128.51,355,7.00,2.08,362,+0.17
260511_111600.wav,VA3TO N4JP R+06,9,7.950,8.020,0,0.000,0,+nan,0,nan,nan,0,+nan
260511_111600.wav,VA3TO N4JP R+06,10,8.140,8.190,0,0.000,0,+nan,0,nan,nan,0,+nan
260511_111600.wav,VA3TO N4JP R+06,11,11.070,11.150,1,1.000,1,+92.83,164,14.00,1.44,178,+0.71
260511_111600.wav,VA3TO N4JP R+06,12,11.260,11.510,3,1.000,1,+128.37,493,6.00,3.60,519,+0.43
260511_111600.wav,VA3TO N4JP R+06,13,11.620,11.670,0,0.000,0,+nan,0,nan,nan,0,+nan
260511_111600.wav,VA3TO N4JP R+06,14,12.830,12.900,0,0.000,0,+nan,0,nan,nan,0,+nan
260511_111600.wav,VA3TO N4JP R+06,15,12.970,13.070,1,0.000,0,+126.71,197,15.00,1.52,197,+0.00
260511_111600.wav,VA3TO N4JP R+06,16,13.160,13.260,1,0.000,0,+127.72,173,13.00,1.40,173,+0.00
260511_111600.wav,VA3TO N4JP R+06,17,14.410,14.470,0,0.000,0,+nan,0,nan,nan,0,+nan
260511_111630.wav,VA3TO N4JP R+06,0,8.910,9.030,1,0.000,0,+125.23,135,12.00,1.32,135,+0.00
260511_111630.wav,VA3TO N4JP R+06,1,11.130,11.220,1,0.000,0,+110.41,126,12.00,1.27,126,+0.00
260511_111800.wav,VA3TO N4JP 73,0,11.170,11.250,1,0.000,0,+127.25,126,12.00,1.28,126,+0.00
260511_111800.wav,VA3TO N4JP 73,1,12.660,12.720,0,0.000,0,+nan,0,nan,nan,0,+nan
260511_111800.wav,VA3TO N4JP 73,2,12.730,12.820,1,0.000,0,+127.59,143,15.00,1.41,143,+0.00
260511_112000.wav,N1KWF N4JP FM14,0,5.200,5.270,0,0.000,0,+nan,0,nan,nan,0,+nan
260511_112015.wav,N4JP N1KWF +15,0,12.980,13.030,0,0.000,0,+nan,0,nan,nan,0,+nan
260511_112015.wav,N4JP N1KWF +15,1,13.050,13.100,0,0.000,0,+nan,0,nan,nan,0,+nan
260511_112030.wav,N1KWF N4JP R+17,0,12.080,12.240,2,0.000,0,+118.78,335,7.00,1.92,335,+0.00
260511_112030.wav,N1KWF N4JP R+17,1,12.320,12.450,1,0.000,0,+121.99,185,14.00,1.50,185,+0.00
260511_112030.wav,N1KWF N4JP R+17,2,12.540,12.610,0,0.000,0,+nan,0,nan,nan,0,+nan
260511_112130.wav,KF2ZQ AD4TJ FM08,0,11.200,11.520,4,0.000,0,+53.30,590,5.00,3.75,590,+0.00
260511_112200.wav,KF2ZQ AD4TJ FM08,0,7.670,7.730,0,0.000,0,+nan,0,nan,nan,0,+nan
260511_123115.wav,KG4ERR KR1ST FN21,0,3.280,3.340,0,0.000,0,+nan,0,nan,nan,0,+nan
260511_131515.wav,CQ WA4Q EM57,0,11.590,11.700,1,0.500,1,+46.69,151,13.00,1.32,166,+0.85
