wav,t_start_s,t_end_s,dur_ms,peak_db,f_mean_hz_minus_1500,f_std_hz,f_range_hz,af_corr
260511_111530.wav,11.790,11.890,100.0,6.56,+127.05,0.690,2.20,-0.543
260511_111530.wav,12.410,12.490,80.0,5.32,+126.47,0.388,1.07,-0.695
260511_111530.wav,12.880,12.980,100.0,6.65,+127.74,0.439,1.26,-0.642
260511_111530.wav,13.070,13.150,80.0,5.68,+128.08,0.793,2.33,-0.293
260511_111530.wav,13.220,14.250,1030.0,10.98,+128.99,0.839,3.53,-0.388
260511_111530.wav,14.450,14.910,460.0,7.47,+128.66,0.843,3.52,-0.380
260511_111600.wav,2.900,2.960,60.0,5.78,+127.04,0.535,1.62,-0.741
260511_111600.wav,4.390,4.480,90.0,5.40,+128.13,0.598,1.59,-0.422
260511_111600.wav,5.380,5.500,120.0,6.24,+128.11,1.155,3.84,-0.802
260511_111600.wav,5.570,5.690,120.0,6.98,+128.05,1.019,3.15,-0.678
260511_111600.wav,5.760,5.850,90.0,5.31,+90.68,55.283,133.88,+0.507
260511_111600.wav,6.000,6.070,70.0,5.22,+127.23,0.692,2.08,-0.384
260511_111600.wav,7.400,7.500,100.0,4.76,+128.08,0.688,2.36,-0.463
260511_111600.wav,7.630,7.680,50.0,5.09,+128.30,0.769,2.01,+0.379
260511_111600.wav,7.690,7.860,170.0,6.62,+128.97,0.954,3.19,-0.431
260511_111600.wav,7.950,8.020,70.0,5.17,+127.60,0.434,1.52,-0.726
260511_111600.wav,8.140,8.190,50.0,4.50,+126.76,0.406,1.23,-0.098
260511_111600.wav,11.070,11.150,80.0,5.89,+119.33,20.936,63.71,-0.033
260511_111600.wav,11.260,11.510,250.0,5.80,+128.30,0.712,2.87,-0.042
260511_111600.wav,11.620,11.670,50.0,5.03,+127.25,0.808,1.91,+0.947
260511_111600.wav,12.830,12.900,70.0,5.18,+127.60,0.516,1.31,-0.106
260511_111600.wav,12.970,13.070,100.0,6.64,+127.58,0.792,2.35,-0.416
260511_111600.wav,13.160,13.260,100.0,6.34,+126.58,0.445,1.17,+0.204
260511_111600.wav,14.410,14.470,60.0,4.73,+126.43,0.286,0.79,+0.175
260511_111630.wav,8.910,9.030,120.0,6.12,+97.36,51.587,129.76,+0.102
260511_111630.wav,11.130,11.220,90.0,5.81,+87.04,47.393,130.13,+0.335
260511_111800.wav,11.170,11.250,80.0,6.48,+2.59,12.953,31.07,+0.379
260511_111800.wav,12.660,12.720,60.0,5.35,+65.65,44.229,104.73,+0.351
260511_111800.wav,12.730,12.820,90.0,6.14,+32.76,37.130,140.50,+0.227
260511_112000.wav,5.200,5.270,70.0,7.75,+69.12,50.377,108.66,+0.288
260511_112015.wav,12.980,13.030,50.0,6.42,+87.57,34.482,86.56,+0.245
260511_112015.wav,13.050,13.100,50.0,6.31,+44.04,56.950,124.99,+0.424
260511_112030.wav,12.080,12.240,160.0,7.96,+63.89,49.247,116.63,+0.084
260511_112030.wav,12.320,12.450,130.0,8.16,+65.49,50.923,127.17,+0.282
260511_112030.wav,12.540,12.610,70.0,5.92,+46.27,64.156,135.93,+0.328
260511_112130.wav,11.200,11.520,320.0,8.11,+53.09,3.876,22.94,-0.037
260511_112200.wav,7.670,7.730,60.0,5.64,+18.06,47.702,113.84,-0.335
260511_123115.wav,3.280,3.340,60.0,9.08,+53.05,57.029,122.98,+0.635
260511_131515.wav,11.590,11.700,110.0,7.35,+18.24,48.601,117.90,+0.409
