wav,wsjtx_msgs,burst_idx,t_start_s,t_end_s,n_frames,n_windows,burst_avg_f0_hz,drift_hz_per_s,resid_hz,label
260511_111230.wav,VA3TO N4JP R+06,0,11.340,11.460,1,0,+36.88,,,INSUFFICIENT
260511_111330.wav,VA3TO N4JP R+06,0,4.120,4.210,1,0,+149.93,,,INSUFFICIENT
260511_111400.wav,VA3TO N4JP R+06,0,1.010,1.140,1,0,+197.70,,,INSUFFICIENT
260511_111430.wav,VA3TO N4JP R+06,0,11.120,11.190,0,0,+nan,,,INSUFFICIENT
260511_111500.wav,VA3TO N4JP R+06,0,4.290,4.420,1,0,+126.78,,,INSUFFICIENT
260511_111530.wav,VA3TO N4JP R+06,0,3.320,3.430,1,0,+126.33,,,INSUFFICIENT
260511_111530.wav,VA3TO N4JP R+06,1,3.550,3.630,1,0,+125.69,,,INSUFFICIENT
260511_111530.wav,VA3TO N4JP R+06,2,4.220,4.280,0,0,+nan,,,INSUFFICIENT
260511_111530.wav,VA3TO N4JP R+06,3,4.380,4.500,1,0,+128.30,,,INSUFFICIENT
260511_111530.wav,VA3TO N4JP R+06,4,4.550,4.680,1,0,+126.68,,,INSUFFICIENT
260511_111530.wav,VA3TO N4JP R+06,5,4.970,5.090,1,0,+125.95,,,INSUFFICIENT
260511_111530.wav,VA3TO N4JP R+06,6,5.680,5.770,1,0,+71.29,,,INSUFFICIENT
260511_111530.wav,VA3TO N4JP R+06,7,6.320,6.380,0,0,+nan,,,INSUFFICIENT
260511_111530.wav,VA3TO N4JP R+06,8,7.310,7.380,0,0,+nan,,,INSUFFICIENT
260511_111530.wav,VA3TO N4JP R+06,9,8.000,8.050,0,0,+nan,,,INSUFFICIENT
260511_111530.wav,VA3TO N4JP R+06,10,9.940,10.020,1,0,+127.22,,,INSUFFICIENT
260511_111530.wav,VA3TO N4JP R+06,11,10.600,10.670,0,0,+nan,,,INSUFFICIENT
260511_111530.wav,VA3TO N4JP R+06,12,10.950,11.030,1,0,+128.27,,,INSUFFICIENT
260511_111530.wav,VA3TO N4JP R+06,13,11.790,11.890,1,0,+211.19,,,INSUFFICIENT
260511_111530.wav,VA3TO N4JP R+06,14,12.410,12.490,1,0,+127.41,,,INSUFFICIENT
260511_111530.wav,VA3TO N4JP R+06,15,12.880,12.980,1,0,+128.21,,,INSUFFICIENT
260511_111530.wav,VA3TO N4JP R+06,16,13.070,13.150,1,0,+126.88,,,INSUFFICIENT
260511_111530.wav,VA3TO N4JP R+06,17,13.220,14.250,14,27,+129.01,+0.32,0.46,STATIONARY
260511_111530.wav,VA3TO N4JP R+06,18,14.450,14.910,6,11,+128.82,-64.38,13.41,FLUTTERY
260511_111600.wav,VA3TO N4JP R+06,0,2.900,2.960,0,0,+nan,,,INSUFFICIENT
260511_111600.wav,VA3TO N4JP R+06,1,4.390,4.480,1,0,+128.55,,,INSUFFICIENT
260511_111600.wav,VA3TO N4JP R+06,2,5.380,5.500,1,0,+126.32,,,INSUFFICIENT
260511_111600.wav,VA3TO N4JP R+06,3,5.570,5.690,1,0,+127.72,,,INSUFFICIENT
260511_111600.wav,VA3TO N4JP R+06,4,5.760,5.850,1,0,+128.72,,,INSUFFICIENT
260511_111600.wav,VA3TO N4JP R+06,5,6.000,6.070,0,0,+nan,,,INSUFFICIENT
260511_111600.wav,VA3TO N4JP R+06,6,7.400,7.500,1,0,+128.16,,,INSUFFICIENT
260511_111600.wav,VA3TO N4JP R+06,7,7.630,7.680,0,0,+nan,,,INSUFFICIENT
260511_111600.wav,VA3TO N4JP R+06,8,7.690,7.860,2,3,+128.51,-19.26,0.32,LINEAR_DRIFT
260511_111600.wav,VA3TO N4JP R+06,9,7.950,8.020,0,0,+nan,,,INSUFFICIENT
260511_111600.wav,VA3TO N4JP R+06,10,8.140,8.190,0,0,+nan,,,INSUFFICIENT
260511_111600.wav,VA3TO N4JP R+06,11,11.070,11.150,1,0,+92.83,,,INSUFFICIENT
260511_111600.wav,VA3TO N4JP R+06,12,11.260,11.510,3,5,+128.37,-290.33,8.13,FLUTTERY
260511_111600.wav,VA3TO N4JP R+06,13,11.620,11.670,0,0,+nan,,,INSUFFICIENT
260511_111600.wav,VA3TO N4JP R+06,14,12.830,12.900,0,0,+nan,,,INSUFFICIENT
260511_111600.wav,VA3TO N4JP R+06,15,12.970,13.070,1,0,+126.71,,,INSUFFICIENT
260511_111600.wav,VA3TO N4JP R+06,16,13.160,13.260,1,0,+127.72,,,INSUFFICIENT
260511_111600.wav,VA3TO N4JP R+06,17,14.410,14.470,0,0,+nan,,,INSUFFICIENT
260511_111630.wav,VA3TO N4JP R+06,0,8.910,9.030,1,0,+125.23,,,INSUFFICIENT
260511_111630.wav,VA3TO N4JP R+06,1,11.130,11.220,1,0,+110.41,,,INSUFFICIENT
260511_111800.wav,VA3TO N4JP 73,0,11.170,11.250,1,0,+127.25,,,INSUFFICIENT
260511_111800.wav,VA3TO N4JP 73,1,12.660,12.720,0,0,+nan,,,INSUFFICIENT
260511_111800.wav,VA3TO N4JP 73,2,12.730,12.820,1,0,+127.59,,,INSUFFICIENT
260511_112000.wav,N1KWF N4JP FM14,0,5.200,5.270,0,0,+nan,,,INSUFFICIENT
260511_112015.wav,N4JP N1KWF +15,0,12.980,13.030,0,0,+nan,,,INSUFFICIENT
260511_112015.wav,N4JP N1KWF +15,1,13.050,13.100,0,0,+nan,,,INSUFFICIENT
260511_112030.wav,N1KWF N4JP R+17,0,12.080,12.240,2,3,+118.78,-1173.36,18.98,FLUTTERY
260511_112030.wav,N1KWF N4JP R+17,1,12.320,12.450,1,0,+121.99,,,INSUFFICIENT
260511_112030.wav,N1KWF N4JP R+17,2,12.540,12.610,0,0,+nan,,,INSUFFICIENT
260511_112130.wav,KF2ZQ AD4TJ FM08,0,11.200,11.520,4,7,+53.30,+381.19,67.78,FLUTTERY
260511_112200.wav,KF2ZQ AD4TJ FM08,0,7.670,7.730,0,0,+nan,,,INSUFFICIENT
260511_123115.wav,KG4ERR KR1ST FN21,0,3.280,3.340,0,0,+nan,,,INSUFFICIENT
260511_131515.wav,CQ WA4Q EM57,0,11.590,11.700,1,0,+46.69,,,INSUFFICIENT
