algorithm,snr_db,trial,detected,n_candidates,threshold
tfmf_2block_k4,-12,17,0,10,12.898365020751953
tfmf_2block_k7,-12,17,0,7,12.898113250732422
sq_det,-12,18,0,0,3.4031667709350586
tfmf_1block,-12,18,0,15,12.746935844421387
tfmf_2block,-12,18,0,13,12.793116569519043
tfmf_2block_k2,-12,18,0,12,12.832636833190918
tfmf_2block_k4,-12,18,0,11,12.898365020751953
tfmf_2block_k7,-12,18,0,4,12.898113250732422
sq_det,-12,19,0,0,3.4031667709350586
tfmf_1block,-12,19,0,7,12.746935844421387
tfmf_2block,-12,19,0,9,12.793116569519043
tfmf_2block_k2,-12,19,0,8,12.832636833190918
tfmf_2block_k4,-12,19,0,7,12.898365020751953
tfmf_2block_k7,-12,19,0,9,12.898113250732422
sq_det,-12,20,0,0,3.4031667709350586
tfmf_1block,-12,20,0,15,12.746935844421387
tfmf_2block,-12,20,0,8,12.793116569519043
tfmf_2block_k2,-12,20,0,12,12.832636833190918
tfmf_2block_k4,-12,20,0,5,12.898365020751953
tfmf_2block_k7,-12,20,0,3,12.898113250732422
sq_det,-12,21,0,0,3.4031667709350586
tfmf_1block,-12,21,0,13,12.746935844421387
tfmf_2block,-12,21,0,10,12.793116569519043
tfmf_2block_k2,-12,21,0,9,12.832636833190918
tfmf_2block_k4,-12,21,0,4,12.898365020751953
tfmf_2block_k7,-12,21,0,5,12.898113250732422
sq_det,-12,22,0,1,3.4031667709350586
tfmf_1block,-12,22,0,9,12.746935844421387
tfmf_2block,-12,22,0,8,12.793116569519043
tfmf_2block_k2,-12,22,0,7,12.832636833190918
tfmf_2block_k4,-12,22,0,8,12.898365020751953
tfmf_2block_k7,-12,22,0,8,12.898113250732422
sq_det,-12,23,0,0,3.4031667709350586
tfmf_1block,-12,23,0,16,12.746935844421387
tfmf_2block,-12,23,0,10,12.793116569519043
tfmf_2block_k2,-12,23,0,7,12.832636833190918
tfmf_2block_k4,-12,23,0,8,12.898365020751953
tfmf_2block_k7,-12,23,0,6,12.898113250732422
sq_det,-12,24,0,0,3.4031667709350586
tfmf_1block,-12,24,0,14,12.746935844421387
tfmf_2block,-12,24,0,7,12.793116569519043
tfmf_2block_k2,-12,24,0,10,12.832636833190918
tfmf_2block_k4,-12,24,0,4,12.898365020751953
tfmf_2block_k7,-12,24,0,4,12.898113250732422
sq_det,-12,25,0,0,3.4031667709350586
tfmf_1block,-12,25,0,12,12.746935844421387
tfmf_2block,-12,25,0,12,12.793116569519043
tfmf_2block_k2,-12,25,0,7,12.832636833190918
tfmf_2block_k4,-12,25,0,6,12.898365020751953
tfmf_2block_k7,-12,25,0,9,12.898113250732422
sq_det,-12,26,0,0,3.4031667709350586
tfmf_1block,-12,26,0,7,12.746935844421387
tfmf_2block,-12,26,0,8,12.793116569519043
tfmf_2block_k2,-12,26,0,8,12.832636833190918
tfmf_2block_k4,-12,26,0,10,12.898365020751953
tfmf_2block_k7,-12,26,0,6,12.898113250732422
sq_det,-12,27,0,0,3.4031667709350586
tfmf_1block,-12,27,0,13,12.746935844421387
tfmf_2block,-12,27,0,13,12.793116569519043
tfmf_2block_k2,-12,27,0,9,12.832636833190918
tfmf_2block_k4,-12,27,0,9,12.898365020751953
tfmf_2block_k7,-12,27,0,8,12.898113250732422
sq_det,-12,28,0,0,3.4031667709350586
tfmf_1block,-12,28,0,11,12.746935844421387
tfmf_2block,-12,28,0,11,12.793116569519043
tfmf_2block_k2,-12,28,0,9,12.832636833190918
tfmf_2block_k4,-12,28,0,9,12.898365020751953
tfmf_2block_k7,-12,28,0,12,12.898113250732422
sq_det,-12,29,0,0,3.4031667709350586
tfmf_1block,-12,29,0,15,12.746935844421387
tfmf_2block,-12,29,0,9,12.793116569519043
tfmf_2block_k2,-12,29,0,13,12.832636833190918
tfmf_2block_k4,-12,29,0,9,12.898365020751953
tfmf_2block_k7,-12,29,0,10,12.898113250732422
sq_det,-12,30,0,0,3.4031667709350586
tfmf_1block,-12,30,0,12,12.746935844421387
tfmf_2block,-12,30,0,7,12.793116569519043
tfmf_2block_k2,-12,30,0,9,12.832636833190918
tfmf_2block_k4,-12,30,0,4,12.898365020751953
tfmf_2block_k7,-12,30,0,2,12.898113250732422
sq_det,-12,31,0,0,3.4031667709350586
tfmf_1block,-12,31,0,15,12.746935844421387
tfmf_2block,-12,31,0,14,12.793116569519043
tfmf_2block_k2,-12,31,0,10,12.832636833190918
tfmf_2block_k4,-12,31,0,10,12.898365020751953
tfmf_2block_k7,-12,31,0,3,12.898113250732422
sq_det,-12,32,0,2,3.4031667709350586
tfmf_1block,-12,32,0,12,12.746935844421387
tfmf_2block,-12,32,0,7,12.793116569519043
tfmf_2block_k2,-12,32,0,12,12.832636833190918
tfmf_2block_k4,-12,32,0,5,12.898365020751953
tfmf_2block_k7,-12,32,0,6,12.898113250732422
sq_det,-12,33,0,0,3.4031667709350586
tfmf_1block,-12,33,0,7,12.746935844421387
tfmf_2block,-12,33,0,10,12.793116569519043
tfmf_2block_k2,-12,33,0,10,12.832636833190918
tfmf_2block_k4,-12,33,0,10,12.898365020751953
tfmf_2block_k7,-12,33,0,10,12.898113250732422
sq_det,-12,34,0,0,3.4031667709350586
tfmf_1block,-12,34,0,12,12.746935844421387
tfmf_2block,-12,34,0,12,12.793116569519043
tfmf_2block_k2,-12,34,0,5,12.832636833190918
tfmf_2block_k4,-12,34,0,9,12.898365020751953
tfmf_2block_k7,-12,34,0,7,12.898113250732422
sq_det,-12,35,0,0,3.4031667709350586
tfmf_1block,-12,35,0,10,12.746935844421387
tfmf_2block,-12,35,0,11,12.793116569519043
tfmf_2block_k2,-12,35,0,5,12.832636833190918
tfmf_2block_k4,-12,35,0,5,12.898365020751953
tfmf_2block_k7,-12,35,0,9,12.898113250732422
sq_det,-12,36,0,0,3.4031667709350586
tfmf_1block,-12,36,0,15,12.746935844421387
tfmf_2block,-12,36,0,5,12.793116569519043
tfmf_2block_k2,-12,36,0,13,12.832636833190918
tfmf_2block_k4,-12,36,0,2,12.898365020751953
tfmf_2block_k7,-12,36,0,6,12.898113250732422
sq_det,-12,37,0,1,3.4031667709350586
tfmf_1block,-12,37,0,7,12.746935844421387
tfmf_2block,-12,37,0,18,12.793116569519043
