algorithm,snr_db,trial,detected,n_candidates,threshold
tfmf_1block,-12,38,0,12,12.746935844421387
tfmf_2block,-12,38,0,11,12.793116569519043
sq_det,-12,39,0,2,2.304680824279785
tfmf_1block,-12,39,0,9,12.746935844421387
tfmf_2block,-12,39,0,9,12.793116569519043
sq_det,-12,40,1,3,2.304680824279785
tfmf_1block,-12,40,0,9,12.746935844421387
tfmf_2block,-12,40,0,10,12.793116569519043
sq_det,-12,41,1,4,2.304680824279785
tfmf_1block,-12,41,0,9,12.746935844421387
tfmf_2block,-12,41,0,7,12.793116569519043
sq_det,-12,42,0,4,2.304680824279785
tfmf_1block,-12,42,0,16,12.746935844421387
tfmf_2block,-12,42,0,3,12.793116569519043
sq_det,-12,43,0,3,2.304680824279785
tfmf_1block,-12,43,0,12,12.746935844421387
tfmf_2block,-12,43,0,6,12.793116569519043
sq_det,-12,44,1,11,2.304680824279785
tfmf_1block,-12,44,0,15,12.746935844421387
tfmf_2block,-12,44,0,10,12.793116569519043
sq_det,-12,45,1,13,2.304680824279785
tfmf_1block,-12,45,0,15,12.746935844421387
tfmf_2block,-12,45,0,11,12.793116569519043
sq_det,-12,46,1,12,2.304680824279785
tfmf_1block,-12,46,0,5,12.746935844421387
tfmf_2block,-12,46,0,13,12.793116569519043
sq_det,-12,47,1,10,2.304680824279785
tfmf_1block,-12,47,0,18,12.746935844421387
tfmf_2block,-12,47,0,14,12.793116569519043
sq_det,-12,48,0,6,2.304680824279785
tfmf_1block,-12,48,0,7,12.746935844421387
tfmf_2block,-12,48,0,8,12.793116569519043
sq_det,-12,49,1,10,2.304680824279785
tfmf_1block,-12,49,0,15,12.746935844421387
tfmf_2block,-12,49,0,8,12.793116569519043
sq_det,-11,0,0,7,2.304680824279785
tfmf_1block,-11,0,0,10,12.746935844421387
tfmf_2block,-11,0,0,9,12.793116569519043
sq_det,-11,1,0,12,2.304680824279785
tfmf_1block,-11,1,0,10,12.746935844421387
tfmf_2block,-11,1,0,11,12.793116569519043
sq_det,-11,2,0,12,2.304680824279785
tfmf_1block,-11,2,0,17,12.746935844421387
tfmf_2block,-11,2,0,13,12.793116569519043
sq_det,-11,3,1,10,2.304680824279785
tfmf_1block,-11,3,0,17,12.746935844421387
tfmf_2block,-11,3,0,17,12.793116569519043
sq_det,-11,4,1,9,2.304680824279785
tfmf_1block,-11,4,0,21,12.746935844421387
tfmf_2block,-11,4,0,6,12.793116569519043
sq_det,-11,5,0,13,2.304680824279785
tfmf_1block,-11,5,0,18,12.746935844421387
tfmf_2block,-11,5,0,17,12.793116569519043
sq_det,-11,6,0,13,2.304680824279785
tfmf_1block,-11,6,0,14,12.746935844421387
tfmf_2block,-11,6,0,7,12.793116569519043
sq_det,-11,7,0,19,2.304680824279785
tfmf_1block,-11,7,0,11,12.746935844421387
tfmf_2block,-11,7,0,12,12.793116569519043
sq_det,-11,8,0,7,2.304680824279785
tfmf_1block,-11,8,0,12,12.746935844421387
tfmf_2block,-11,8,0,10,12.793116569519043
sq_det,-11,9,1,8,2.304680824279785
tfmf_1block,-11,9,0,11,12.746935844421387
tfmf_2block,-11,9,0,12,12.793116569519043
sq_det,-11,10,0,8,2.304680824279785
tfmf_1block,-11,10,0,14,12.746935844421387
tfmf_2block,-11,10,0,13,12.793116569519043
sq_det,-11,11,1,9,2.304680824279785
tfmf_1block,-11,11,0,17,12.746935844421387
tfmf_2block,-11,11,0,10,12.793116569519043
sq_det,-11,12,0,10,2.304680824279785
tfmf_1block,-11,12,0,6,12.746935844421387
tfmf_2block,-11,12,0,16,12.793116569519043
sq_det,-11,13,0,6,2.304680824279785
tfmf_1block,-11,13,0,14,12.746935844421387
tfmf_2block,-11,13,0,11,12.793116569519043
sq_det,-11,14,0,8,2.304680824279785
tfmf_1block,-11,14,0,16,12.746935844421387
tfmf_2block,-11,14,0,16,12.793116569519043
sq_det,-11,15,0,6,2.304680824279785
tfmf_1block,-11,15,0,8,12.746935844421387
tfmf_2block,-11,15,0,12,12.793116569519043
sq_det,-11,16,1,13,2.304680824279785
tfmf_1block,-11,16,0,13,12.746935844421387
tfmf_2block,-11,16,0,14,12.793116569519043
sq_det,-11,17,1,5,2.304680824279785
tfmf_1block,-11,17,0,9,12.746935844421387
tfmf_2block,-11,17,0,11,12.793116569519043
sq_det,-11,18,1,7,2.304680824279785
tfmf_1block,-11,18,0,14,12.746935844421387
tfmf_2block,-11,18,0,7,12.793116569519043
sq_det,-11,19,1,7,2.304680824279785
tfmf_1block,-11,19,0,16,12.746935844421387
tfmf_2block,-11,19,0,4,12.793116569519043
sq_det,-11,20,0,6,2.304680824279785
tfmf_1block,-11,20,0,13,12.746935844421387
tfmf_2block,-11,20,0,7,12.793116569519043
sq_det,-11,21,1,12,2.304680824279785
tfmf_1block,-11,21,0,15,12.746935844421387
tfmf_2block,-11,21,0,13,12.793116569519043
sq_det,-11,22,0,13,2.304680824279785
tfmf_1block,-11,22,0,11,12.746935844421387
tfmf_2block,-11,22,0,8,12.793116569519043
sq_det,-11,23,0,5,2.304680824279785
tfmf_1block,-11,23,0,11,12.746935844421387
tfmf_2block,-11,23,0,7,12.793116569519043
sq_det,-11,24,0,9,2.304680824279785
tfmf_1block,-11,24,0,14,12.746935844421387
tfmf_2block,-11,24,0,15,12.793116569519043
sq_det,-11,25,0,10,2.304680824279785
tfmf_1block,-11,25,0,11,12.746935844421387
tfmf_2block,-11,25,0,14,12.793116569519043
sq_det,-11,26,0,12,2.304680824279785
tfmf_1block,-11,26,0,12,12.746935844421387
tfmf_2block,-11,26,0,10,12.793116569519043
sq_det,-11,27,0,11,2.304680824279785
tfmf_1block,-11,27,0,6,12.746935844421387
tfmf_2block,-11,27,0,7,12.793116569519043
sq_det,-11,28,0,6,2.304680824279785
tfmf_1block,-11,28,0,7,12.746935844421387
tfmf_2block,-11,28,0,10,12.793116569519043
sq_det,-11,29,1,23,2.304680824279785
tfmf_1block,-11,29,0,10,12.746935844421387
tfmf_2block,-11,29,0,12,12.793116569519043
sq_det,-11,30,0,5,2.304680824279785
tfmf_1block,-11,30,0,12,12.746935844421387
tfmf_2block,-11,30,0,6,12.793116569519043
sq_det,-11,31,1,14,2.304680824279785
tfmf_1block,-11,31,0,15,12.746935844421387
tfmf_2block,-11,31,0,10,12.793116569519043
sq_det,-11,32,0,10,2.304680824279785
tfmf_1block,-11,32,0,13,12.746935844421387
tfmf_2block,-11,32,0,14,12.793116569519043
sq_det,-11,33,1,2,2.304680824279785
tfmf_1block,-11,33,0,16,12.746935844421387
tfmf_2block,-11,33,0,11,12.793116569519043
sq_det,-11,34,0,10,2.304680824279785
tfmf_1block,-11,34,0,10,12.746935844421387
tfmf_2block,-11,34,0,16,12.793116569519043
sq_det,-11,35,0,13,2.304680824279785
tfmf_1block,-11,35,0,13,12.746935844421387
tfmf_2block,-11,35,0,14,12.793116569519043
sq_det,-11,36,1,15,2.304680824279785
tfmf_1block,-11,36,0,15,12.746935844421387
tfmf_2block,-11,36,0,5,12.793116569519043
sq_det,-11,37,0,11,2.304680824279785
tfmf_1block,-11,37,0,10,12.746935844421387
tfmf_2block,-11,37,0,6,12.793116569519043
sq_det,-11,38,0,4,2.304680824279785
tfmf_1block,-11,38,0,10,12.746935844421387
tfmf_2block,-11,38,0,4,12.793116569519043
sq_det,-11,39,1,9,2.304680824279785
tfmf_1block,-11,39,0,12,12.746935844421387
tfmf_2block,-11,39,0,12,12.793116569519043
sq_det,-11,40,1,12,2.304680824279785
tfmf_1block,-11,40,0,11,12.746935844421387
tfmf_2block,-11,40,0,10,12.793116569519043
sq_det,-11,41,1,6,2.304680824279785
tfmf_1block,-11,41,0,18,12.746935844421387
tfmf_2block,-11,41,0,7,12.793116569519043
sq_det,-11,42,0,9,2.304680824279785
tfmf_1block,-11,42,0,16,12.746935844421387
tfmf_2block,-11,42,0,12,12.793116569519043
sq_det,-11,43,0,11,2.304680824279785
tfmf_1block,-11,43,0,9,12.746935844421387
tfmf_2block,-11,43,0,6,12.793116569519043
sq_det,-11,44,0,15,2.304680824279785
tfmf_1block,-11,44,0,10,12.746935844421387
tfmf_2block,-11,44,0,8,12.793116569519043
sq_det,-11,45,1,8,2.304680824279785
tfmf_1block,-11,45,0,14,12.746935844421387
tfmf_2block,-11,45,0,10,12.793116569519043
sq_det,-11,46,1,11,2.304680824279785
tfmf_1block,-11,46,0,9,12.746935844421387
tfmf_2block,-11,46,0,12,12.793116569519043
sq_det,-11,47,0,11,2.304680824279785
tfmf_1block,-11,47,0,12,12.746935844421387
tfmf_2block,-11,47,0,9,12.793116569519043
sq_det,-11,48,0,8,2.304680824279785
tfmf_1block,-11,48,0,12,12.746935844421387
tfmf_2block,-11,48,0,9,12.793116569519043
sq_det,-11,49,0,6,2.304680824279785
tfmf_1block,-11,49,0,8,12.746935844421387
